Type	Dia	Qty
P1	D22	89
P2	D22	89
P3-1	D16	3
P3-2	D16	3
P4-1	D16	1
P4-2	D16	1
P5	D16	1
P6	D16	1
P7-1	D16	3
P7-2	D16	3
P8-1	D16	1
P8-2	D16	1
P9	D16	1
P10	D16	1
P11	D13	87
P12	D13	116
G1	D13	4
G2	D13	4
G3	D13	8
J1	D16	83
J2	D16	83
E1	D16	47
E2	D16	2
E3	D13	4
E4	D22	24
S1	D16	88
S2	D16	2
S3-1	D16	4
S3-2	D16	4
S3-3	D16	4
S4-1	D16	3
S4-2	D16	3
S4-3	D16	3
S5	D16	174
H1	D16	178
H2-1	D16	2
H2-2	D16	2
H2-3	D16	2
H3-1	D16	2
H3-2	D16	2
H3-3	D16	2
A1	D22	89
A2	D16	88
A3-1	D16	21
A3-2	D16	21
A3-3	D16	21
A4-1	D13	10
A4-2	D13	10
A4-3	D13	10
A5-1	D13	11
A5-2	D13	11
A5-3	D13	11
A6	D16	4
A7	D16	4
A8	D13	21
A9	D13	21
A10	D16	215
F1	D25	165
F2	D25	17
F3	D19	83
F4	D19	9
F5	D25	83
F6	D25	9
F7-1	D22	22
F7-2	D22	22
F8-1	D13	5
F8-2	D13	5
F9-1	D16	31
F9-2	D16	31
F10-1	D19	8
F10-2	D19	8
F11	D19	8
F12	D16	40
F13	D16	6
F14	D16	215
F15	D16	43
